sales_id,order_id,product_id,product_type,product_name,size,color,price_per_unit,quantity,total_price,order_date
38,9,708,Jacket,Trench Coat,L,orange,119,1,119,2021-05-01
39,9,1040,Trousers,Relaxed Leg,XS,indigo,90,2,180,2021-05-01
40,9,917,Trousers,Drawstring,M,orange,96,3,288,2021-05-01
41,9,1061,Trousers,Joggers,S,yellow,93,2,186,2021-05-01
42,9,35,Shirt,Dress,XS,red,104,2,208,2021-05-01
43,10,325,Shirt,Mandarin Collar,XS,yellow,109,3,327,2021-10-15
44,10,860,Trousers,Chinos,XS,blue,113,2,226,2021-10-15
45,10,426,Jacket,Denim,S,orange,107,3,321,2021-10-15
46,11,877,Trousers,Cords,M,red,94,2,188,2021-06-15
47,11,780,Jacket,Pullover,XS,yellow,91,3,273,2021-06-15
48,12,782,Jacket,Pullover,M,yellow,91,1,91,2021-06-30
49,12,632,Jacket,Coach,M,red,93,2,186,2021-06-30
50,12,846,Trousers,Chinos,S,orange,113,3,339,2021-06-30
51,12,180,Shirt,Camp Collared,XS,orange,98,1,98,2021-06-30
52,13,217,Shirt,Chambray,M,orange,106,2,212,2021-10-15
53,13,95,Shirt,Flannel,XS,indigo,118,3,354,2021-10-15
54,13,800,Jacket,Pullover,XS,violet,91,2,182,2021-10-15
55,13,835,Jacket,Shearling,XS,violet,117,1,117,2021-10-15
56,13,1249,Trousers,Tracksuit Bottoms,XL,blue,112,2,224,2021-10-15
57,13,753,Jacket,Peacoat,L,green,109,2,218,2021-10-15
58,13,114,Shirt,Denim,XL,orange,92,3,276,2021-10-15
59,14,1202,Trousers,Pleated,M,yellow,105,2,210,2021-03-29
60,14,227,Shirt,Chambray,M,green,106,3,318,2021-03-29
61,14,108,Shirt,Denim,L,red,92,2,184,2021-03-29
62,14,91,Shirt,Flannel,S,blue,118,3,354,2021-03-29
63,14,909,Trousers,Cords,XL,violet,94,2,188,2021-03-29
64,15,699,Jacket,Parka,XL,violet,113,3,339,2021-09-22
65,15,1195,Trousers,Pleated,XS,orange,105,3,315,2021-09-22
66,15,291,Shirt,Cuban Collar,S,yellow,105,2,210,2021-09-22
67,15,972,Trousers,Slim-Fit,M,indigo,97,3,291,2021-09-22
68,15,1212,Trousers,Pleated,M,blue,105,2,210,2021-09-22
69,16,7,Shirt,Oxford Cloth,M,orange,96,3,288,2021-07-07
70,16,381,Shirt,Henley,S,violet,94,3,282,2021-07-07
71,16,17,Shirt,Oxford Cloth,M,green,96,2,192,2021-07-07
72,16,297,Shirt,Cuban Collar,M,green,105,2,210,2021-07-07
73,16,28,Shirt,Oxford Cloth,L,indigo,96,1,96,2021-07-07
74,16,934,Trousers,Drawstring,XL,blue,96,1,96,2021-07-07
75,16,324,Shirt,Mandarin Collar,XL,orange,109,3,327,2021-07-07
76,16,578,Jacket,Bomber,L,green,100,2,200,2021-07-07
77,16,273,Shirt,Polo,L,indigo,95,1,95,2021-07-07
78,17,132,Shirt,Denim,M,indigo,92,2,184,2021-02-09
79,17,791,Jacket,Pullover,S,blue,91,2,182,2021-02-09
80,17,463,Jacket,Puffer,L,orange,118,1,118,2021-02-09
81,17,1066,Trousers,Joggers,S,green,93,2,186,2021-02-09
82,18,35,Shirt,Dress,XS,red,104,1,104,2021-01-01
83,18,970,Trousers,Slim-Fit,XS,indigo,97,3,291,2021-01-01
84,18,285,Shirt,Cuban Collar,XS,orange,105,1,105,2021-01-01
85,18,1110,Trousers,Cropped,XS,indigo,115,3,345,2021-01-01
86,18,452,Jacket,Denim,M,violet,107,1,107,2021-01-01
87,19,71,Shirt,Flannel,S,red,118,1,118,2021-08-30
88,19,347,Shirt,Mandarin Collar,M,violet,109,2,218,2021-08-30
89,19,316,Shirt,Mandarin Collar,S,red,109,2,218,2021-08-30
90,19,809,Jacket,Shearling,XL,red,117,3,351,2021-08-30
91,19,682,Jacket,Parka,M,green,113,3,339,2021-08-30
92,20,596,Jacket,Cardigan,S,red,112,2,224,2021-01-13
93,20,85,Shirt,Flannel,XS,green,118,3,354,2021-01-13
94,20,571,Jacket,Bomber,S,yellow,100,1,100,2021-01-13
95,20,1114,Trousers,Cropped,XL,indigo,115,3,345,2021-01-13
96,20,514,Jacket,Windbreaker,XL,blue,102,3,306,2021-01-13
97,20,681,Jacket,Parka,S,green,113,1,113,2021-01-13
98,20,1114,Trousers,Cropped,XL,indigo,115,1,115,2021-01-13
99,21,7,Shirt,Oxford Cloth,M,orange,96,1,96,2021-04-04
100,21,298,Shirt,Cuban Collar,L,green,105,2,210,2021-04-04
101,21,906,Trousers,Cords,S,violet,94,2,188,2021-04-04
102,22,20,Shirt,Oxford Cloth,XS,blue,96,1,96,2021-05-28
103,22,1040,Trousers,Relaxed Leg,XS,indigo,90,2,180,2021-05-28
104,22,134,Shirt,Denim,XL,indigo,92,1,92,2021-05-28
105,22,172,Shirt,Linen,M,violet,91,2,182,2021-05-28
106,22,321,Shirt,Mandarin Collar,S,orange,109,3,327,2021-05-28
107,22,912,Trousers,Drawstring,M,red,96,1,96,2021-05-28
108,23,238,Shirt,Chambray,L,indigo,106,2,212,2021-05-17
109,23,809,Jacket,Shearling,XL,red,117,3,351,2021-05-17
110,24,8,Shirt,Oxford Cloth,L,orange,96,1,96,2021-09-04
111,24,852,Trousers,Chinos,M,yellow,113,2,226,2021-09-04
112,25,736,Jacket,Peacoat,S,red,109,3,327,2021-07-04
113,25,593,Jacket,Bomber,L,violet,100,2,200,2021-07-04
114,26,808,Jacket,Shearling,L,red,117,2,234,2021-04-25
115,26,154,Shirt,Linen,XL,yellow,91,3,273,2021-04-25
116,26,453,Jacket,Denim,L,violet,107,1,107,2021-04-25
117,27,302,Shirt,Cuban Collar,M,blue,105,2,210,2021-05-16
118,27,823,Jacket,Shearling,L,green,117,1,117,2021-05-16
119,27,360,Shirt,Henley,XS,yellow,94,1,94,2021-05-16
120,27,430,Jacket,Denim,XS,yellow,107,1,107,2021-05-16
121,27,1027,Trousers,Relaxed Leg,M,yellow,90,3,270,2021-05-16
122,27,603,Jacket,Cardigan,L,orange,112,1,112,2021-05-16
123,27,843,Trousers,Chinos,L,red,113,2,226,2021-05-16
124,28,19,Shirt,Oxford Cloth,XL,green,96,2,192,2021-08-19
125,28,226,Shirt,Chambray,S,green,106,2,212,2021-08-19
126,28,1158,Trousers,High-Waisted,L,red,99,1,99,2021-08-19
127,28,730,Jacket,Trench Coat,XS,violet,119,1,119,2021-08-19
128,28,2,Shirt,Oxford Cloth,M,red,96,2,192,2021-08-19
129,28,761,Jacket,Peacoat,S,indigo,109,2,218,2021-08-19
130,28,684,Jacket,Parka,XL,green,113,3,339,2021-08-19
131,28,922,Trousers,Drawstring,M,yellow,96,2,192,2021-08-19
132,28,1053,Trousers,Joggers,L,red,93,2,186,2021-08-19
133,28,1259,Trousers,Tracksuit Bottoms,XL,violet,112,3,336,2021-08-19
134,28,803,Jacket,Pullover,L,violet,91,2,182,2021-08-19
135,29,633,Jacket,Coach,L,red,93,1,93,2021-03-22
136,29,907,Trousers,Cords,M,violet,94,3,282,2021-03-22
137,29,246,Shirt,Polo,S,red,95,2,190,2021-03-22
138,29,762,Jacket,Peacoat,M,indigo,109,3,327,2021-03-22
139,30,407,Shirt,Casual Slim Fit,M,blue,119,2,238,2021-07-07
140,30,325,Shirt,Mandarin Collar,XS,yellow,109,2,218,2021-07-07
141,30,2,Shirt,Oxford Cloth,M,red,96,1,96,2021-07-07
142,30,411,Shirt,Casual Slim Fit,S,indigo,119,2,238,2021-07-07
143,30,1167,Trousers,High-Waisted,M,yellow,99,1,99,2021-07-07
144,30,462,Jacket,Puffer,M,orange,118,3,354,2021-07-07
145,31,484,Jacket,Puffer,XL,indigo,118,2,236,2021-03-11
146,31,1071,Trousers,Joggers,S,blue,93,1,93,2021-03-11
147,31,1245,Trousers,Tracksuit Bottoms,XS,blue,112,1,112,2021-03-11
148,32,1096,Trousers,Cropped,S,yellow,115,3,345,2021-06-17
149,32,323,Shirt,Mandarin Collar,L,orange,109,1,109,2021-06-17
150,32,22,Shirt,Oxford Cloth,M,blue,96,3,288,2021-06-17
151,33,486,Jacket,Puffer,S,violet,118,2,236,2021-07-01
152,33,1173,Trousers,High-Waisted,L,green,99,3,297,2021-07-01
153,33,322,Shirt,Mandarin Collar,M,orange,109,3,327,2021-07-01
154,33,955,Trousers,Slim-Fit,XS,yellow,97,3,291,2021-07-01
155,33,511,Jacket,Windbreaker,S,blue,102,2,204,2021-07-01
156,34,817,Jacket,Shearling,M,yellow,117,2,234,2021-05-23
157,34,555,Jacket,Leather,XS,violet,98,1,98,2021-05-23
158,34,775,Jacket,Pullover,XS,orange,91,3,273,2021-05-23
159,34,62,Shirt,Dress,M,indigo,104,1,104,2021-05-23
160,35,991,Trousers,Wool,S,yellow,106,2,212,2021-08-31
161,35,527,Jacket,Leather,M,red,98,1,98,2021-08-31
162,35,1257,Trousers,Tracksuit Bottoms,M,violet,112,2,224,2021-08-31
163,35,1043,Trousers,Relaxed Leg,L,indigo,90,1,90,2021-08-31
164,35,549,Jacket,Leather,XL,blue,98,1,98,2021-08-31
165,35,302,Shirt,Cuban Collar,M,blue,105,1,105,2021-08-31
166,35,671,Jacket,Parka,S,orange,113,3,339,2021-08-31
167,36,675,Jacket,Parka,XS,yellow,113,1,113,2021-08-22
168,36,636,Jacket,Coach,S,orange,93,3,279,2021-08-22
169,36,37,Shirt,Dress,M,red,104,2,208,2021-08-22
170,36,831,Jacket,Shearling,S,indigo,117,2,234,2021-08-22
171,36,737,Jacket,Peacoat,M,red,109,2,218,2021-08-22
172,36,203,Shirt,Camp Collared,L,indigo,98,1,98,2021-08-22
173,37,809,Jacket,Shearling,XL,red,117,3,351,2021-07-07
174,37,995,Trousers,Wool,XS,green,106,3,318,2021-07-07
175,37,605,Jacket,Cardigan,XS,yellow,112,3,336,2021-07-07
176,37,608,Jacket,Cardigan,L,yellow,112,2,224,2021-07-07
177,37,645,Jacket,Coach,XS,green,93,2,186,2021-07-07
178,38,1015,Trousers,Relaxed Leg,XS,red,90,2,180,2021-02-03
179,38,503,Jacket,Windbreaker,L,yellow,102,1,102,2021-02-03
180,38,138,Shirt,Denim,L,violet,92,2,184,2021-02-03
181,39,621,Jacket,Cardigan,S,indigo,112,2,224,2021-02-26
182,39,338,Shirt,Mandarin Collar,L,blue,109,2,218,2021-02-26
183,39,148,Shirt,Linen,L,orange,91,3,273,2021-02-26
184,39,631,Jacket,Coach,S,red,93,3,279,2021-02-26
185,39,916,Trousers,Drawstring,S,orange,96,1,96,2021-02-26
186,39,317,Shirt,Mandarin Collar,M,red,109,2,218,2021-02-26
187,39,49,Shirt,Dress,XL,yellow,104,1,104,2021-02-26
188,39,1030,Trousers,Relaxed Leg,XS,green,90,2,180,2021-02-26
189,39,892,Trousers,Cords,M,green,94,3,282,2021-02-26
190,39,20,Shirt,Oxford Cloth,XS,blue,96,2,192,2021-02-26
191,40,333,Shirt,Mandarin Collar,L,green,109,2,218,2021-01-07
192,40,650,Jacket,Coach,XS,blue,93,1,93,2021-01-07
193,40,479,Jacket,Puffer,XL,blue,118,3,354,2021-01-07
194,40,688,Jacket,Parka,L,blue,113,3,339,2021-01-07
195,41,1012,Trousers,Wool,M,violet,106,1,106,2021-01-03
196,41,730,Jacket,Trench Coat,XS,violet,119,1,119,2021-01-03
197,41,579,Jacket,Bomber,XL,green,100,3,300,2021-01-03
198,42,866,Trousers,Chinos,S,indigo,113,1,113,2021-07-29
199,42,978,Trousers,Slim-Fit,L,violet,97,2,194,2021-07-29
200,42,330,Shirt,Mandarin Collar,XS,green,109,1,109,2021-07-29
201,42,1225,Trousers,Tracksuit Bottoms,XS,red,112,1,112,2021-07-29
202,43,1146,Trousers,Cargo Pants,S,indigo,102,2,204,2021-07-13
203,43,586,Jacket,Bomber,S,indigo,100,1,100,2021-07-13
204,43,134,Shirt,Denim,XL,indigo,92,3,276,2021-07-13
205,44,368,Shirt,Henley,L,green,94,2,188,2021-09-07
206,44,1127,Trousers,Cargo Pants,M,orange,102,2,204,2021-09-07
207,44,595,Jacket,Cardigan,XS,red,112,1,112,2021-09-07
208,44,1076,Trousers,Joggers,S,indigo,93,1,93,2021-09-07
209,44,704,Jacket,Trench Coat,XL,red,119,1,119,2021-09-07
210,45,476,Jacket,Puffer,S,blue,118,1,118,2021-05-30
211,45,705,Jacket,Trench Coat,XS,orange,119,3,357,2021-05-30
212,45,1037,Trousers,Relaxed Leg,M,blue,90,2,180,2021-05-30
213,45,345,Shirt,Mandarin Collar,XS,violet,109,3,327,2021-05-30
214,45,1253,Trousers,Tracksuit Bottoms,L,indigo,112,2,224,2021-05-30
215,45,1258,Trousers,Tracksuit Bottoms,L,violet,112,1,112,2021-05-30
216,46,666,Jacket,Parka,S,red,113,3,339,2021-06-22
217,46,498,Jacket,Windbreaker,L,orange,102,1,102,2021-06-22
218,46,316,Shirt,Mandarin Collar,S,red,109,3,327,2021-06-22
219,47,664,Jacket,Coach,XL,violet,93,2,186,2021-04-21
220,47,823,Jacket,Shearling,L,green,117,2,234,2021-04-21
221,47,777,Jacket,Pullover,M,orange,91,1,91,2021-04-21
222,47,78,Shirt,Flannel,L,orange,118,2,236,2021-04-21
223,47,1089,Trousers,Cropped,XL,red,115,3,345,2021-04-21
224,48,960,Trousers,Slim-Fit,XS,green,97,1,97,2021-04-16
225,48,683,Jacket,Parka,L,green,113,3,339,2021-04-16
226,49,40,Shirt,Dress,XS,orange,104,3,312,2021-01-22
227,49,1044,Trousers,Relaxed Leg,XL,indigo,90,2,180,2021-01-22
228,49,773,Jacket,Pullover,L,red,91,1,91,2021-01-22
229,50,457,Jacket,Puffer,M,red,118,3,354,2021-09-16
230,50,339,Shirt,Mandarin Collar,XL,blue,109,1,109,2021-09-16
231,50,1098,Trousers,Cropped,L,yellow,115,3,345,2021-09-16
232,50,1051,Trousers,Joggers,S,red,93,2,186,2021-09-16
233,50,1033,Trousers,Relaxed Leg,L,green,90,3,270,2021-09-16
234,50,429,Jacket,Denim,XL,orange,107,1,107,2021-09-16
235,51,668,Jacket,Parka,L,red,113,1,113,2021-02-19
236,51,968,Trousers,Slim-Fit,L,blue,97,3,291,2021-02-19
237,51,1071,Trousers,Joggers,S,blue,93,2,186,2021-02-19
238,52,491,Jacket,Windbreaker,S,red,102,3,306,2021-10-06
239,52,1101,Trousers,Cropped,S,green,115,3,345,2021-10-06
240,52,1141,Trousers,Cargo Pants,S,blue,102,1,102,2021-10-06
241,52,14,Shirt,Oxford Cloth,XL,yellow,96,2,192,2021-10-06
242,53,825,Jacket,Shearling,XS,blue,117,3,351,2021-04-22
243,53,56,Shirt,Dress,S,blue,104,1,104,2021-04-22
244,53,92,Shirt,Flannel,M,blue,118,1,118,2021-04-22
245,54,843,Trousers,Chinos,L,red,113,2,226,2021-04-25
246,54,974,Trousers,Slim-Fit,XL,indigo,97,2,194,2021-04-25
247,54,268,Shirt,Polo,L,blue,95,1,95,2021-04-25
248,54,512,Jacket,Windbreaker,M,blue,102,2,204,2021-04-25
249,55,717,Jacket,Trench Coat,M,green,119,1,119,2021-04-08
250,56,1061,Trousers,Joggers,S,yellow,93,1,93,2021-01-23
251,56,879,Trousers,Cords,XL,red,94,3,282,2021-01-23
252,56,469,Jacket,Puffer,XL,yellow,118,1,118,2021-01-23
253,56,610,Jacket,Cardigan,XS,green,112,3,336,2021-01-23
254,56,968,Trousers,Slim-Fit,L,blue,97,2,194,2021-01-23
255,57,1078,Trousers,Joggers,L,indigo,93,2,186,2021-02-27
256,57,1148,Trousers,Cargo Pants,L,indigo,102,3,306,2021-02-27
257,57,808,Jacket,Shearling,L,red,117,1,117,2021-02-27
258,58,1073,Trousers,Joggers,L,blue,93,3,279,2021-02-02
259,58,883,Trousers,Cords,L,orange,94,2,188,2021-02-02
260,59,928,Trousers,Drawstring,L,green,96,1,96,2021-01-31
261,59,682,Jacket,Parka,M,green,113,2,226,2021-01-31
262,59,786,Jacket,Pullover,S,green,91,1,91,2021-01-31
263,60,1054,Trousers,Joggers,XL,red,93,2,186,2021-02-05
264,60,926,Trousers,Drawstring,S,green,96,1,96,2021-02-05
265,60,590,Jacket,Bomber,XS,violet,100,1,100,2021-02-05
266,60,203,Shirt,Camp Collared,L,indigo,98,3,294,2021-02-05
267,60,913,Trousers,Drawstring,L,red,96,1,96,2021-02-05
268,60,451,Jacket,Denim,S,violet,107,3,321,2021-02-05
269,61,1163,Trousers,High-Waisted,L,orange,99,1,99,2021-04-16
270,61,210,Shirt,Chambray,XS,red,106,1,106,2021-04-16
271,61,1180,Trousers,High-Waisted,XS,indigo,99,1,99,2021-04-16
272,61,710,Jacket,Trench Coat,XS,yellow,119,3,357,2021-04-16
273,61,316,Shirt,Mandarin Collar,S,red,109,2,218,2021-04-16
274,62,1045,Trousers,Relaxed Leg,XS,violet,90,2,180,2021-07-30
275,62,1192,Trousers,Pleated,M,red,105,2,210,2021-07-30
276,63,327,Shirt,Mandarin Collar,M,yellow,109,3,327,2021-02-11
277,63,975,Trousers,Slim-Fit,XS,violet,97,2,194,2021-02-11
278,63,360,Shirt,Henley,XS,yellow,94,2,188,2021-02-11
279,63,208,Shirt,Camp Collared,L,violet,98,1,98,2021-02-11
280,64,801,Jacket,Pullover,S,violet,91,2,182,2021-01-24
281,64,623,Jacket,Cardigan,L,indigo,112,2,224,2021-01-24
282,64,1012,Trousers,Wool,M,violet,106,1,106,2021-01-24
283,64,680,Jacket,Parka,XS,green,113,2,226,2021-01-24
284,65,1184,Trousers,High-Waisted,XL,indigo,99,3,297,2021-06-26
285,65,744,Jacket,Peacoat,XL,orange,109,3,327,2021-06-26
286,66,947,Trousers,Slim-Fit,M,red,97,3,291,2021-08-14
287,66,847,Trousers,Chinos,M,orange,113,1,113,2021-08-14
288,66,810,Jacket,Shearling,XS,orange,117,3,351,2021-08-14
289,66,465,Jacket,Puffer,XS,yellow,118,2,236,2021-08-14
290,66,125,Shirt,Denim,XS,blue,92,2,184,2021-08-14
291,66,728,Jacket,Trench Coat,L,indigo,119,1,119,2021-08-14
292,66,901,Trousers,Cords,S,indigo,94,2,188,2021-08-14
293,66,672,Jacket,Parka,M,orange,113,2,226,2021-08-14
294,66,163,Shirt,Linen,L,blue,91,3,273,2021-08-14
295,66,942,Trousers,Drawstring,M,violet,96,1,96,2021-08-14
296,67,1038,Trousers,Relaxed Leg,L,blue,90,2,180,2021-05-22
297,67,798,Jacket,Pullover,L,indigo,91,2,182,2021-05-22
298,67,453,Jacket,Denim,L,violet,107,2,214,2021-05-22
299,68,64,Shirt,Dress,XL,indigo,104,1,104,2021-02-12
300,68,436,Jacket,Denim,S,green,107,2,214,2021-02-12
301,68,1029,Trousers,Relaxed Leg,XL,yellow,90,1,90,2021-02-12
302,68,78,Shirt,Flannel,L,orange,118,1,118,2021-02-12
303,69,103,Shirt,Flannel,L,violet,118,1,118,2021-03-08
304,69,175,Shirt,Camp Collared,XS,red,98,3,294,2021-03-08
305,69,1059,Trousers,Joggers,XL,orange,93,1,93,2021-03-08
306,69,1210,Trousers,Pleated,XS,blue,105,2,210,2021-03-08
307,69,817,Jacket,Shearling,M,yellow,117,2,234,2021-03-08
308,69,616,Jacket,Cardigan,S,blue,112,3,336,2021-03-08
309,70,593,Jacket,Bomber,L,violet,100,1,100,2021-05-15
310,71,1100,Trousers,Cropped,XS,green,115,1,115,2021-02-14
311,71,230,Shirt,Chambray,XS,blue,106,2,212,2021-02-14
312,72,1028,Trousers,Relaxed Leg,L,yellow,90,2,180,2021-03-13
313,72,548,Jacket,Leather,L,blue,98,2,196,2021-03-13
314,72,71,Shirt,Flannel,S,red,118,2,236,2021-03-13
315,72,596,Jacket,Cardigan,S,red,112,2,224,2021-03-13
316,73,467,Jacket,Puffer,M,yellow,118,3,354,2021-07-24
317,73,1135,Trousers,Cargo Pants,XS,green,102,1,102,2021-07-24
318,73,1014,Trousers,Wool,XL,violet,106,1,106,2021-07-24
319,73,1188,Trousers,High-Waisted,L,violet,99,3,297,2021-07-24
320,73,70,Shirt,Flannel,XS,red,118,2,236,2021-07-24
321,74,507,Jacket,Windbreaker,M,green,102,2,204,2021-02-23
322,74,311,Shirt,Cuban Collar,S,violet,105,2,210,2021-02-23
323,74,85,Shirt,Flannel,XS,green,118,2,236,2021-02-23
324,75,571,Jacket,Bomber,S,yellow,100,2,200,2021-08-24
325,75,395,Shirt,Casual Slim Fit,XS,yellow,119,3,357,2021-08-24
326,75,604,Jacket,Cardigan,XL,orange,112,3,336,2021-08-24
327,76,452,Jacket,Denim,M,violet,107,1,107,2021-06-18
328,76,1083,Trousers,Joggers,L,violet,93,2,186,2021-06-18
329,76,214,Shirt,Chambray,XL,red,106,1,106,2021-06-18
330,76,1158,Trousers,High-Waisted,L,red,99,1,99,2021-06-18
331,76,1132,Trousers,Cargo Pants,M,yellow,102,1,102,2021-06-18
332,76,1067,Trousers,Joggers,M,green,93,3,279,2021-06-18
333,76,842,Trousers,Chinos,M,red,113,2,226,2021-06-18
334,77,81,Shirt,Flannel,S,yellow,118,3,354,2021-04-19
335,77,672,Jacket,Parka,M,orange,113,1,113,2021-04-19
336,77,390,Shirt,Casual Slim Fit,XS,orange,119,3,357,2021-04-19
337,77,614,Jacket,Cardigan,XL,green,112,1,112,2021-04-19
338,77,535,Jacket,Leather,XS,yellow,98,3,294,2021-04-19
339,77,1165,Trousers,High-Waisted,XS,yellow,99,2,198,2021-04-19
340,77,364,Shirt,Henley,XL,yellow,94,1,94,2021-04-19
341,77,1221,Trousers,Pleated,S,violet,105,1,105,2021-04-19
342,77,878,Trousers,Cords,L,red,94,3,282,2021-04-19
343,77,782,Jacket,Pullover,M,yellow,91,3,273,2021-04-19
344,77,819,Jacket,Shearling,XL,yellow,117,3,351,2021-04-19
345,77,577,Jacket,Bomber,M,green,100,2,200,2021-04-19
346,78,733,Jacket,Trench Coat,L,violet,119,3,357,2021-05-13
347,78,1086,Trousers,Cropped,S,red,115,2,230,2021-05-13
348,78,1001,Trousers,Wool,S,blue,106,2,212,2021-05-13
349,79,481,Jacket,Puffer,S,indigo,118,2,236,2021-03-16
350,79,499,Jacket,Windbreaker,XL,orange,102,1,102,2021-03-16
351,79,1244,Trousers,Tracksuit Bottoms,XL,green,112,3,336,2021-03-16
352,79,947,Trousers,Slim-Fit,M,red,97,1,97,2021-03-16
353,80,21,Shirt,Oxford Cloth,S,blue,96,2,192,2021-04-26
354,80,978,Trousers,Slim-Fit,L,violet,97,2,194,2021-04-26
355,81,55,Shirt,Dress,XS,blue,104,3,312,2021-06-13
356,81,987,Trousers,Wool,M,orange,106,2,212,2021-06-13
357,81,1175,Trousers,High-Waisted,XS,blue,99,1,99,2021-06-13
358,81,142,Shirt,Linen,M,red,91,1,91,2021-06-13
359,81,143,Shirt,Linen,L,red,91,3,273,2021-06-13
360,81,626,Jacket,Cardigan,S,violet,112,1,112,2021-06-13
361,82,599,Jacket,Cardigan,XL,red,112,2,224,2021-02-02
362,82,528,Jacket,Leather,L,red,98,3,294,2021-02-02
363,82,757,Jacket,Peacoat,M,blue,109,1,109,2021-02-02
364,82,1042,Trousers,Relaxed Leg,M,indigo,90,3,270,2021-02-02
365,82,676,Jacket,Parka,S,yellow,113,2,226,2021-02-02
366,82,239,Shirt,Chambray,XL,indigo,106,3,318,2021-02-02
367,83,588,Jacket,Bomber,L,indigo,100,1,100,2021-06-25
368,83,88,Shirt,Flannel,L,green,118,1,118,2021-06-25
369,83,260,Shirt,Polo,XS,green,95,2,190,2021-06-25
370,84,1074,Trousers,Joggers,XL,blue,93,1,93,2021-08-26
371,84,371,Shirt,Henley,S,blue,94,3,282,2021-08-26
372,84,191,Shirt,Camp Collared,S,green,98,2,196,2021-08-26
373,85,442,Jacket,Denim,M,blue,107,1,107,2021-03-10
374,85,379,Shirt,Henley,XL,indigo,94,1,94,2021-03-10
375,85,613,Jacket,Cardigan,L,green,112,3,336,2021-03-10
376,86,572,Jacket,Bomber,M,yellow,100,2,200,2021-08-05
377,87,98,Shirt,Flannel,L,indigo,118,3,354,2021-06-20
378,87,276,Shirt,Polo,S,violet,95,1,95,2021-06-20
379,87,278,Shirt,Polo,L,violet,95,2,190,2021-06-20
380,87,174,Shirt,Linen,XL,violet,91,2,182,2021-06-20
381,88,126,Shirt,Denim,S,blue,92,1,92,2021-07-19
382,88,862,Trousers,Chinos,M,blue,113,3,339,2021-07-19
383,88,407,Shirt,Casual Slim Fit,M,blue,119,1,119,2021-07-19
384,88,86,Shirt,Flannel,S,green,118,2,236,2021-07-19
385,88,770,Jacket,Pullover,XS,red,91,2,182,2021-07-19
386,88,915,Trousers,Drawstring,XS,orange,96,2,192,2021-07-19
387,88,1221,Trousers,Pleated,S,violet,105,2,210,2021-07-19
388,89,271,Shirt,Polo,S,indigo,95,1,95,2021-10-22
389,89,818,Jacket,Shearling,L,yellow,117,2,234,2021-10-22
390,89,549,Jacket,Leather,XL,blue,98,1,98,2021-10-22
391,89,520,Jacket,Windbreaker,XS,violet,102,3,306,2021-10-22
